# ordnung, delta_s, kronikadelta_s
1, 308, 82
2, 253, 63
3, 226, 55
4, 200, 49
5, 186, 42
6, 177, 39
7, 170, 35
8, 155, 29
9, 153, 29
10, 147, 26
