# ordnung, delta_s, kronikadelta_s
1, 308, 124
2, 253, 100
3, 226, 91
4, 200, 80
5, 186, 76
6, 177, 71
7, 170, 71
8, 155, 62
9, 153, 62
10, 147, 55
